Taraf,Hadith Count,Best Distribution Name,Best Dist Params,Best Fit Metrics,Similarity Metric
852,119,exponpow,"(3.174943962831569, -0.10279339403787735, 1.2013854563286048)","{'AIC': 633.9625409728128, 'BIC': 654.5325237838646}",WMD
760,122,gamma,"(31.459724119620212, -0.8295254816714768, 0.04988844857601932)","{'AIC': 1993.6545565181832, 'BIC': 2014.3745497474933}",WMD
636,138,exponpow,"(2.6428801936314628, -0.1361108633087702, 1.0764092154808886)","{'AIC': 1528.037053814824, 'BIC': 1549.4993161061002}",WMD
1360,69,exponpow,"(8.629026162580775, -1.4436400823162432, 2.452838521557425)","{'AIC': -300.9331961965448, 'BIC': -283.6517951089046}",WMD
1950,59,weibull_min,"(80062963.86932352, -17764656.260464355, 17764657.2261502)","{'AIC': 255.0016090052742, 'BIC': 271.33610882695075}",WMD
380,188,exponpow,"(1.90244000453057, -0.13401237397947993, 0.9490066062829943)","{'AIC': 5343.050452302672, 'BIC': 5366.373662500046}",WMD
1557,66,exponpow,"(1.7497799007518464, -0.009176266740953423, 0.9094619100472421)","{'AIC': 579.7749487708544, 'BIC': 596.7876332649407}",WMD
2762,33,exponpow,"(6.4434183673134875, -0.7887908811765916, 1.666755459053506)","{'AIC': -193.05202319475876, 'BIC': -180.24473434363998}",WMD
632,131,exponpow,"(18.165408508356876, -4.404027617956801, 5.39300972027573)","{'AIC': 1131.3240624300695, 'BIC': 1152.47281620936}",WMD
876,107,weibull_min,"(741.7798253467494, -121.8313638000312, 122.76733039825126)","{'AIC': -2507.8947836027173, 'BIC': -2487.965421358675}",WMD
469,177,gamma,"(19.467643306955026, -0.3772421974113613, 0.052470021266207784)","{'AIC': -1911.1482248587565, 'BIC': -1888.1877652176004}",WMD
611,132,norm,"(0.6931152847239185, 0.20586394078386783)","{'AIC': -2790.4092790079167, 'BIC': -2776.2795748774615}",WMD
473,170,exponpow,"(15.496614770091817, -4.090861680386993, 4.988820596623119)","{'AIC': 4162.54861453851, 'BIC': 4185.266264452751}",WMD
2066,41,exponpow,"(0.2872326377869815, -1.0946870219914762e-29, 0.6600458382078369)","{'AIC': -36867.8507333959, 'BIC': -36853.72282037512}",WMD
402,199,weibull_min,"(6.231953398552946, -0.20590742594326295, 0.8939516586300269)","{'AIC': -18667.979613134146, 'BIC': -18644.31433910957}",WMD
3033,31,gamma,"(4.319038531225832, -0.006394868411931445, 0.09216834259298604)","{'AIC': -287.36057169710523, 'BIC': -274.93445948034315}",WMD
479,169,exponpow,"(21659706.326994523, -7452876.860109584, 7452877.958795717)","{'AIC': 7859.992413745464, 'BIC': 7882.674560286763}",WMD
2893,33,exponpow,"(74466779.71602848, -18593211.1915211, 18593212.41979327)","{'AIC': -0.17002171145337996, 'BIC': 12.637267139665404}",WMD
1448,69,gamma,"(7.080064149385116, -0.11566215528767693, 0.09616085331985544)","{'AIC': 39.198550635143135, 'BIC': 56.4799517227834}",WMD
720,133,norm,"(0.7910602152608796, 0.19206488007237968)","{'AIC': -4051.1465680471024, 'BIC': -4036.986560306606}",WMD
830,107,exponpow,"(6.384982341673627, -1.0782557026808328, 2.0981748021883257)","{'AIC': 845.2911468535035, 'BIC': 865.2205090975456}",WMD
2177,82,exponpow,"(3.407389422322579, -0.339089759317981, 1.2790579464852052)","{'AIC': 419.10824416540777, 'BIC': 437.432307829538}",WMD
2095,38,weibull_min,"(2.4602171303320404, -0.09885235732451085, 0.6874933061777657)","{'AIC': 99.52974958744682, 'BIC': 113.19582026287881}",WMD
1876,48,exponpow,"(112916016.31040399, -31907987.31347136, 31907988.51423703)","{'AIC': 205.24020044772865, 'BIC': 220.32480474390266}",WMD
843,87,exponpow,"(2.9137080218920497, -0.17139520674301922, 1.1946559564856638)","{'AIC': 839.4139670681361, 'BIC': 858.0952917711805}",WMD
1258,84,weibull_min,"(5.365204194476596, -0.30093847369634685, 1.0252491043317358)","{'AIC': -1345.8911749572198, 'BIC': -1327.42164427898}",WMD
809,90,weibull_min,"(5.083823256569305, -0.18447330468310352, 1.0050589276819126)","{'AIC': -1263.170259392987, 'BIC': -1244.2843628144797}",WMD
547,163,exponpow,"(17.850144917323906, -3.4451651964135874, 4.449790942070442)","{'AIC': -3393.325869022708, 'BIC': -3370.8612709562703}",WMD
706,153,exponpow,"(7.901106691682289, -1.944252178036404, 2.964565863907196)","{'AIC': 5050.273557315046, 'BIC': 5072.357071100082}",WMD
